unit_id,rule_id,reaction_id
12838,55321,22940
12838,55321,22941
12838,55321,22942
12838,55321,22943
12838,55321,22944
12838,55321,22945
12838,55321,22946
12838,55321,22948
12838,55321,22949
12838,55321,22950
12838,55321,22951
12838,55321,22952
12838,55321,22954
12838,55321,22955
13769,55323,22940
13769,55323,22941
13769,55323,22943
13769,55323,22944
13769,55323,22945
13769,55323,22946
13769,55323,22948
13769,55323,22949
13769,55323,22951
13769,55323,22952
13769,55323,22954
13769,55323,22955
7959,55324,22945
13769,55325,22940
13769,55325,22941
13769,55325,22943
13769,55325,22944
13769,55325,22945
13769,55325,22946
13769,55325,22947
13769,55325,22948
13769,55325,22949
13769,55325,22951
13769,55325,22952
13769,55325,22954
13769,55325,22955
9469,55326,22947
9469,55326,22950
9469,55326,22951
9469,55326,22953
10686,55327,22940
10686,55327,22945
10686,55327,22940
10686,55327,22941
10686,55327,22942
10686,55327,22943
10686,55327,22944
10686,55327,22945
10686,55327,22946
10686,55327,22947
10686,55327,22948
10686,55327,22949
10686,55327,22950
10686,55327,22951
10686,55327,22952
10686,55327,22953
10686,55327,22954
6911,55328,22940
6911,55328,22941
6911,55328,22943
6911,55328,22944
6911,55328,22946
6911,55328,22948
6911,55328,22949
6911,55328,22952
6911,55328,22953
6911,55328,22954
6911,55328,22955
10083,55329,22940
10083,55329,22940
10083,55329,22941
10083,55329,22942
10083,55329,22943
10083,55329,22944
10083,55329,22945
10083,55329,22946
10083,55329,22947
10083,55329,22948
10083,55329,22949
10083,55329,22950
10083,55329,22951
10083,55329,22952
10083,55329,22953
10083,55329,22954
13769,55330,22945
13769,55330,22940
13769,55330,22941
13769,55330,22943
13769,55330,22944
13769,55330,22946
13769,55330,22948
13769,55330,22949
13769,55330,22952
13769,55330,22953
13769,55330,22954
13769,55330,22955
1990,55331,22940
1990,55331,22941
1990,55331,22942
1990,55331,22943
1990,55331,22950
1990,55331,22954
11701,55332,22940
1990,55333,22942
1990,55333,22944
1990,55333,22945
1990,55333,22949
1990,55333,22951
10083,55334,22940
10083,55334,22940
10083,55334,22941
10083,55334,22942
10083,55334,22954
10083,55334,22955
1990,55335,22940
1990,55335,22941
1990,55335,22942
1990,55335,22954
7085,55336,22956
7085,55336,22956
12573,55337,22957
7085,55338,22956
7085,55338,22956
7085,55338,22957
7085,55339,22956
7085,55339,22956
7085,55339,22957
7085,55339,22958
7085,55339,22959
956,55340,22958
7959,55341,22956
7600,55342,22957
5555,55343,22958
9469,55344,22959
3937,55345,22958
3937,55345,22959
5512,55346,22961
5512,55346,22961
1570,55347,22960
1570,55347,22961
1570,55347,22960
1570,55347,22961
6186,55348,22961
3328,55349,22961
4297,55350,22964
4297,55350,22967
4297,55350,22974
9264,55351,22968
9264,55351,22964
9264,55351,22966
9264,55351,22967
9264,55351,22968
9264,55351,22969
9264,55351,22970
9264,55351,22972
9264,55351,22974
9264,55351,22975
9264,55351,22976
2085,55352,22964
2085,55352,22965
2085,55352,22967
2085,55352,22970
2085,55352,22971
2085,55352,22972
2085,55352,22973
2085,55352,22974
5181,55353,22968
5181,55353,22973
8201,55354,22964
8201,55354,22965
8201,55354,22966
8201,55354,22967
8201,55354,22968
8201,55354,22969
8201,55354,22970
8201,55354,22971
8201,55354,22972
8201,55354,22973
8201,55354,22974
8201,55354,22975
8201,55354,22976
8254,55355,22962
9469,55356,22962
1415,55357,22963
1415,55357,22963
1415,55357,22964
1415,55357,22965
1415,55357,22966
1415,55357,22967
1415,55357,22968
1415,55357,22969
1415,55357,22970
1415,55357,22971
1415,55357,22972
1415,55357,22973
1415,55357,22974
1415,55357,22975
1415,55357,22976
2227,55358,22964
2227,55358,22970
2227,55358,22972
406,55359,22965
406,55359,22970
406,55359,22971
406,55359,22972
2409,55360,22965
2409,55360,22971
12104,55361,22964
12104,55361,22967
12104,55361,22974
9963,55362,22964
9963,55362,22966
9963,55362,22967
9963,55362,22968
9963,55362,22969
9963,55362,22973
