smarts_hash_id,unit_id,unit
4ba5cfe8,3565,P.1859.5
9ff4cabd,3566,P.288.24
bc797977,3567,P.1413.30
64f23c39,3567,P.1413.30
4986f7e2,3568,P.2336.5
fb0d33d7,3569,P.2336.330
600a092d,3570,S.1874.29
1bf65d46,3571,S.659084.69
b90f2307,3572,P.1806.72
7f90497c,3573,P.948.3
76c5dcbb,3573,P.948.3
7da5d261,3574,S.938.2
6bac2ef7,3575,P.342.23
7eb07d19,3576,P.3151.18
6733a161,3577,P.3061.74
c0df7f54,3577,P.3061.74
1c9136c4,3578,P.1711.1
5569292a,3578,P.1711.1
0bcdee64,3579,P.2071.24
75ca4379,3580,P.2164.1
2f37ff78,3581,P.M00572.6
6f753eac,3582,P.M00011.36
e070fde2,3582,P.M00011.36
62f1c1e4,3583,P.591.16
e3e9c26e,3584,cid_5283012
2669d90f,3585,P.1476.9
604c6420,3586,P.M00814.19
9b61a42c,3587,cid_12921
e60b4046,3588,S.659090.39
01c179db,3589,P.1806.61
2dc4df7a,3590,P.706.5
d25a9a8b,3590,P.706.5
b3e36c4b,3590,P.706.5
22637a91,3591,P.M00840.33
e002f6a2,3591,P.M00840.33
db1b2b8b,3592,P.580.4
5b57223c,3593,Anthrabenzoxocinones
ecbee057,3594,P.3083.6
90d1ba5e,3595,cid_12235227
beb9cccd,3596,P.3040.44
1f359fe1,3597,P.2944.50
a49e438e,3598,P.M00794.3
b4fcf473,3598,P.M00794.3
c343f846,3599,P.M00026.3
d27cdd4b,3600,P.2922.44
e73458a2,3600,P.2922.44
7f8dedb6,3601,P.2944.18
5aee7a99,3602,C8:0:1(7)
f37f3343,3603,S.1652.24
9557363f,3604,P.2448.47
f46f8256,3605,S.619.16
6f299ab9,3606,P.3077.22
acc465ae,3607,P.2779.5
c9a26251,3608,P.815.4
1e29bb68,3608,P.815.4
8dbf8c1a,3609,P.2015.12
0e9b5699,3609,P.2015.12
e6dd9b85,3610,P.2931.81
7c99e07a,3611,S.1198.22
