metabolite_id,smiles,chemotype
94,CC1OC(OC2C(OC3C(O)C(C)OC(O)C3O)OC(C)C(O)C2O)C(O)C(O)C1O,Aminoglycoside
95,CC1OC(OC2C(O)OC(CO)C(OC3OC(CO)C(O)C(O)C3O)C2O)C(O)C(O)C1O,Aminoglycoside
96,COC1OC(C)C(O)C(OC2OC(C)C(O)C(OC3OC(C)C(OC)C(OC)C3OC)C2O)C1OC,Aminoglycoside
97,COc1c(C)c(O)c(Cc2c(O)c(C)c(OC)c(C(=O)C(C)C)c2O)c(O)c1C(=O)C(C)C,Terpene
98,CCC1(O)CC(=O)c2c(c(O)c3c(O)c4c(O)ccc(O)c4c(O)c3c2O)C1O,TypeIIPolyketide
99,COc1cc(CC2C(OC)OCC2C(OC)c2ccc(O)c(OC)c2)ccc1O,TypeIIPolyketide
100,CC(C)CC1C(=O)N2CCCC2C2(O)OC(NC(=O)C3=CC4c5cccc6[nH]cc(c56)CC4N(C)C3)(C(C)C)C(=O)N12,Alkaloid
101,OCC1OC(OC2C(OC3C(CO)OC(O)C3O)OC(CO)C2O)C(O)C1O,Aminoglycoside
102,CC1OC(OC2C(O)C(C)OC(OC3C(O)OC(C)C(O)C3O)C2O)C(O)C(O)C1O,Aminoglycoside
103,CC1OC(OC2C(O)C(O)OC(CO)C2O)C(O)C(O)C1OC1OC(CO)C(O)C(O)C1O,Aminoglycoside
104,OCC1OC(OC2C(OC3C(O)C(O)OC(CO)C3O)OC(CO)C(O)C2O)C(O)C(O)C1O,Aminoglycoside
105,CC(=O)NC1C(O)OC(CO)C(O)C1OC1OC(C)C(OC2OC(CO)C(O)C(O)C2O)C(O)C1O,Aminoglycoside
106,CC1OC(O)C(OC2OC(CO)C(O)C(OC3OC(CO)C(O)C(O)C3O)C2O)C(O)C1O,Aminoglycoside
107,CC1OC(O)C(O)C(OC2OC(C)C(O)C(OC3OC(CO)C(O)C(O)C3O)C2O)C1O,Aminoglycoside
108,CC1OC(O)C(OC2OC(C)C(O)C(OC3OC(CO)C(O)C(O)C3O)C2O)C(O)C1O,Aminoglycoside
109,OCC1OC(OC2C(O)C(CO)OC(OCC3OC(O)C(O)C(O)C3O)C2O)C(O)C(O)C1O,Aminoglycoside
110,CC1OC(OC2C(O)OC(C)C(O)C2OC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O,Aminoglycoside
111,OCC1OC(OC2C(O)OC(CO)C(OC3OC(CO)C(O)C(O)C3O)C2O)C(O)C(O)C1O,Aminoglycoside
112,O=C(O)C1OC(OC2C(O)C(O)OC(CO)C2O)C(OC2OC(CO)C(O)C(O)C2O)C(O)C1O,Aminoglycoside
113,OCC1OC(OC2C(OCC3OC(O)C(O)C(O)C3O)OC(CO)C(O)C2O)C(O)C(O)C1O,Aminoglycoside
114,CC1OC(O)C(OC2OC(CO)C(O)C(O)C2O)C(OC2OC(CO)C(O)C(O)C2O)C1O,Aminoglycoside
115,CC1OC(OC2C(O)C(C)OC(O)C2OC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O,Aminoglycoside
116,OCC1OC(OCC2OC(O)C(OC3OC(CO)C(O)C(O)C3O)C(O)C2O)C(O)C(O)C1O,Aminoglycoside
117,OCC1OC(OCC(O)C2OC(OCC(O)C3OC(O)C(O)C3O)C(O)C2O)C(O)C(O)C1O,Aminoglycoside
118,OCC(O)C1OC(O)C(O)C1OC1OC(CO)C(OC2OC(CO)C(O)C(O)C2O)C(O)C1O,Aminoglycoside
119,CC1OC(O)C(O)C(OC2OC(CO)C(O)C(OC3OC(CO)C(O)C(O)C3O)C2O)C1O,Aminoglycoside
120,O=C(O)C1OC(OC2C(O)OC(CO)C(O)C2OC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O,Aminoglycoside
121,OCC1OC(OCC2OC(O)C(O)C(OC3OC(CO)C(O)C(O)C3O)C2O)C(O)C(O)C1O,Aminoglycoside
122,CC1OC(O)C(O)C(O)C1OC1OC(CO)C(O)C(O)C1OC1OC(CO)C(O)C(O)C1O,Aminoglycoside
123,CC1OC(OC2C(OC3C(O)C(O)OC(CO)C3O)OC(C)C(O)C2O)C(O)C(O)C1O,Aminoglycoside
124,OCC1OC(OCC2OC(OCC3OC(O)C(O)C3O)C(O)C2O)C(O)C1O,Aminoglycoside
125,OCC(O)C1OC(OCC(OC2OC(CO)C(O)C2O)C2OC(O)C(O)C2O)C(O)C1O,Aminoglycoside
127,OCC1OC2OC3C(CO)OC(OC4C(CO)OC(OC5C(CO)OC(OC6C(CO)OC(OC7C(CO)OC(OC1C(O)C2O)C(O)C7O)C(O)C6O)C(O)C5O)C(O)C4O)C(O)C3O,Aminoglycoside
128,CCCCCC(=O)Cc1cc(O)cc2c1C(=O)Oc1cc(OC)c(C(=O)O)c(CC(=O)CCCCC)c1O2,TypeIIPolyketide
129,C=C(CCC=C(C)C)C1CC=C(CCC=C(C)C)CC1,Terpene
130,COC(=O)/C=C\C(C)=C/C=C/C(C)=C\C=C\C=C(C)\C=C/C=C(C)\C=C/C(=O)O,TypeIPolyketide
131,CC(C)C(NC(=O)C(CO)NC(=O)CCCC(N)C(=O)O)C(=O)O,BetaLactam
132,NC(Cc1ccc(C(=O)O)[nH]c1=O)C(=O)O,Alkaloid
133,NC(CCN1C(=O)CCC1C(=O)O)C(=O)O,Alkaloid
134,NC(Cc1c[nH]oc1=O)C(=O)O,Alkaloid
135,CCC(C)C1NC(=O)CNC(=O)C2Cc3c([nH]c4cc(O)ccc34)[S+]([O-])CC(NC(=O)CNC1=O)C(=O)NC(CC(N)=O)C(=O)N1CC(O)CC1C(=O)NC(C(C)C(O)CO)C(=O)N2,NonRibosomalPeptide
136,COc1cc(C)c2c(c1C)Oc1c(c(COC(C)=O)c(O)c3c1C(O)OC3=O)OC2=O,TypeIIPolyketide
137,COc1cc(C)c2c(c1C=O)Oc1c(c(COC(C)=O)c(O)c3c1C(O)OC3=O)OC2=O,TypeIIPolyketide
138,CC(=O)NC(Cc1ccccc1)C(=O)NC(C=O)CCCN=C(N)N,NonRibosomalPeptide
139,C/C=C/C1=CC2=C(CN1C(CCCCN)C(=O)O)C(O)C(C)(O)C(=O)C2,Terpene
140,C=C1C(C(N)C(=O)O)C=CCCC1C(N)C(=O)O.C=C1C(C(N)C(=O)O)CC=CCC1C(N)C(=O)O,Terpene
141,Cc1cc(O)cc(O)c1C(=O)OCC1OC(OC2OC(COC(=O)c3c(C)cc(O)cc3O)C(O)C(O)C2O)C(O)C(O)C1O,TypeIIPolyketide
142,O=P(O)(O)OCC1OC(OC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O,Aminoglycoside
144,CC(C)C1CCC2(C)OC1C(C(C)(C)O)O2,TypeIPolyketide
145,CC(O)C1OC2(C)CCCC1O2,TypeIPolyketide
146,CC(C)C1CCC2(C)OC(C(C)O)C1O2,TypeIPolyketide
147,O=C(O)C(=O)N1CCC1,Alkaloid
148,NC(Cc1c[nH]cc1/C=C/Cl)C(=O)O,Alkaloid
149,CC(C)=CCC/C(C)=C/C=C/C(C)(O)C1Cc2c(c3ccccc3[n+]([O-])c2C)O1,Alkaloid
150,CC1=C2CCC2(C)C23OCC(C)(CC2C1=O)C3O,Terpene
151,CC[C@H](C)C1NC(=O)C(C(C)C)NC(=O)C2NC(=O)CNC(=O)C3CSC(C)C(NC(=O)C4CSCC(NC(=O)C(C)NC(=O)C(C)N)C(=O)NC(CO)C(=O)NCC(=O)NC(Cc5c[nH]c6ccccc56)C(=O)NC(C(C)C)C(=O)N4)C(=O)NC(CC(C)C)C(=O)NC(C(=O)NC([C@@H](C)CC)C(=O)NC(CCC(=O)O)C(=O)N3)[C@@H](C)SCC(NC1=O)C(=O)NC(C)C(=O)NC(C(=O)NC(CCCN=C(N)N)C(=O)O)CSC2C,Ripp
152,C/C=C/c1ccc(OC)cc1,TypeIPolyketide
154,CC1(C)CCC2(C)CCC3(C)C(=CCC4C5(C)CCC(OC(=O)CCc6ccc(O)cc6)C(C)(C)C5CCC43C)C2C1,Terpene
155,COc1cc(C)c2c(c1O)C(=O)C(=O)C1=C2O[C@H](C)C1(C)C,TypeIIPolyketide
156,Cc1c(N)nc([C@H](CC(N)=O)NCC(N)C(N)=O)nc1C(=O)NC(C(=O)N[C@H](CCO)[C@@H](O)C(C)C(=O)NC(C(=O)NCCC1=N[C@@H](c2nc(C(=O)NCCC(=N)N)cs2)CS1)C(C)(C)O)[C@@H](O[C@@H]1O[C@@H](C)[C@@H](O)[C@H](O)[C@@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@@H](OC(N)=O)[C@H]1O)c1c[nH]cn1,Nucleoside
158,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C2=C(C)C[C@@H](O)CC2(C)C)C(C)(C)C[C@H](O)C1,Terpene
159,CC[C@@]1(O)C=Cc2c(c(O)c3c(O)c4cccc(O)c4c(O)c3c2O)C1C(=O)OC,TypeIIPolyketide
162,C/C=C/C=C/C=C/C=C\c1ccccc1/C=C/C(=O)O,TypeIPolyketide
163,C/C=C/C=C\C=C\C=C/c1ccccc1/C=C/C(=O)O,TypeIPolyketide
164,C/C=C/C=C\C=C\C=C/c1ccccc1[C@@H](CC(=O)O)[C@@H]1C=CC(=CCC(=O)O)[C@@H](/C=C\C=C\C=C/C=C/C)C1,TypeIPolyketide
165,CC(C)(C1=N[C@@](C)(C(=O)O)CS1)[C@H](O)[C@@H]1CSC([C@H]2CSC(c3ccccc3O)=N2)N1,NRPS-IndependentSiderophore
166,COc1cc2[nH]c(C(=O)N3CC4CC45C3=CC(=O)c3[nH]c(C(=O)N4CCc6c4c(O)c(OC)c4[nH]c(C(=O)SC)cc64)cc35)cc2cc1O,TypeIIPolyketide
167,O=C(O)C(=O)C(O)C(O)C(O)CO.O=C(O)C1OC(O)(CO)C(O)C1O,TypeIPolyketide
168,CC(C(=O)O)=C1CC(C)(C)C[C@H]2[C@@H](C)[C@H](O)C[C@H]12,Terpene
169,CC(C)=CCC[C@]1(C)Oc2ccc(C(=O)NC(C(=O)O)[C@@H](C)O)cc2C[C@@H]1O,Alkaloid
170,CCCCCC/C=C/C=C/C=CC(=O)c1c(O)cn(O)c1O,TypeIPolyketide
171,CCCCCC/C=C/C=C/C=C/C(=O)c1c(O)cn(O)c1O,TypeIPolyketide
172,CCCC(=O)N1CCCC1C(=O)NC(C)C(=O)NC(C(=O)NC(CC(C)C)C(=O)NC(C(=O)NC1C(=O)NC(C(C)C)C(=O)NC(C(C)C)C(=O)NC(C(C)C)C(=O)NC(C)C(=O)NCCC(=O)N2CCCC2C(=O)NC(C(C)C)C(=O)O[C@@H]1C)[C@H](C)CC)C(C)C,NonRibosomalPeptide
173,C=C[C@@H]1C=C[C@@H]2[C@@H]3C[C@H](C)C[C@H](C)[C@H]3[C@H]3Oc4ccc(cc4)C[C@@]4(O)NC(=O)C(C(=O)C1[C@@H]23)[C@@H]4O,TypeIPolyketide
175,C[C@@H](O)C/C=C/CCCCCCCC/C=C/C(=O)NCCCCC(=O)O,TypeIPolyketide
176,CC(C)CCCCCC(=O)N(O)CCCCC(NC(=O)CC(O)(CC(=O)O)C(=O)O)C(=O)O,NRPS-IndependentSiderophore
177,CCCCCCCC(O)CC(=O)NC(CC(C)C)C(=O)NC(CCC(=O)O)C(=O)NC1C(=O)NC(C(C)C)C(=O)NC(CC(C)C)C(=O)NC(CO)C(=O)NC(CC(C)C)C(=O)NC(CO)C(=O)NC(C(C)CC)C(=O)O[C@@H]1C,NonRibosomalPeptide
178,C=C[C@]1(C)C(Cl)=CC2C(=O)[C@]1(N=C=S)c1cccc3[nH]c(O)c(c13)C2(C)C,Alkaloid
179,C=C[C@]1(C)[C@H](Cl)CC2C(=O)[C@]1(N=C=S)c1cccc3[nH]c(O)c(c13)C2(C)C,Alkaloid
180,C/C=C/C1=CC2=CC3=C(C(=O)CCCCC)C(=O)OC3(C)C(=O)C2=CN1C(CCC(=O)O)C(=O)O,Alkaloid
181,C/C=C/C1=CC2=CC3=C(C(=O)CCCCCCC)C(=O)OC3(C)C(=O)C2=CN1C(CCC(=O)O)C(=O)O,Alkaloid
182,C[C@@H]1SC(c2ccccc2O)=N[C@@H]1[C@H]1SC[C@@](C)(C(=O)O)N1C,NRPS-IndependentSiderophore
183,C[C@@H]1SC(c2ccccc2O)=N[C@H]1[C@@H]1SC[C@](C)(C(=O)O)N1C,NRPS-IndependentSiderophore
184,CO[C@@H]1C[C@@H](O[C@H]2C=C(C)[C@@H](OC(C)=O)[C@]3(O)C(OC(C)=O)C(=O)c4c(c(O)c5ccc(C6C[C@@H](O[C@H]7C[C@](C)(O)[C@H](O[C@H]8CC[C@H](O)[C@@H](C)O8)[C@@H](C)O7)[C@H](O)[C@@H](C)O6)c(O)c5c4O)[C@]23O)O[C@@H](C)[C@H]1OC(N)=O,TypeIIPolyketide
185,COc1cc(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c2c(c1O)C(=O)c1cc(CO)cc(OC)c1C2=O,TypeIIPolyketide
186,COc1cc(O)cc2c(O)c3c(c(O)c12)C(=O)C=C(CO)C3=O,TypeIIPolyketide
187,O=Cc1c(O)cc(O)cc1CO,Terpene
188,COc1cc(O)cc2c1C(=O)c1c(O)cc(CO)cc1C2=O,TypeIIPolyketide
189,O=C(O)CCCCCCCCCCC1CCCCC1,Terpene
190,O=C(O)CCCCCCCCC1CCCCCC1,Terpene
191,O=C(O)CCCCCCCCCC1CCCCCC1,Terpene
192,O=C(O)C(O)CCCCCCCCCCCC1CCCCCC1,Terpene
193,CN[C@H]1[C@@H](O)C[C@H](O[C@H]2C/C=C(\C)C/C(C)=C/C=C/CC[C@H](C)CNC(=O)C=CC=CC2C)O[C@@H]1C,TypeIPolyketide
194,CC1OC(c2cccc(O)c2O)=NC1C(=O)NCCCN(CCCNC(=O)c1cccc(O)c1O)C(=O)C1N=C(c2cccc(O)c2O)O[C@@H]1C,NRPS-IndependentSiderophore
